Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:05:54:0611;1366016754611;;;;;68;;;;;;
2013-04-15 11:05:54:0776;1366016754776;176.8;;;;;;;;;;
2013-04-15 11:05:54:0813;1366016754813;;;;68.0;;;;;;;
2013-04-15 11:05:54:0977;1366016754977;;;;;68;;;;;;
2013-04-15 11:05:55:0024;1366016755024;182.6;;;;;;;;;;
2013-04-15 11:05:55:0179;1366016755179;;;;68.0;;;;;;;
2013-04-15 11:05:55:0251;1366016755251;189.25;;;;;;;;;;
2013-04-15 11:05:55:0329;1366016755329;;;;;68;;;;;;
2013-04-15 11:05:55:0489;1366016755489;193.75;;;;;;;;;;
2013-04-15 11:05:55:0529;1366016755529;;;;68.0;;;;;;;
2013-04-15 11:05:55:0681;1366016755681;;;;;68;;;;;;
2013-04-15 11:05:55:0728;1366016755728;200.15;;;;;;;;;;
2013-04-15 11:05:55:0883;1366016755883;;;;68.0;;;;;;;
2013-04-15 11:05:55:0974;1366016755974;205.7;;;;;;;;;;
2013-04-15 11:05:56:0031;1366016756031;;;;;68;;;;;;
2013-04-15 11:05:56:0204;1366016756204;209.55;;;;;;;;;;
2013-04-15 11:05:56:0233;1366016756233;;;;68.0;;;;;;;
2013-04-15 11:05:56:0383;1366016756383;;;;;68;;;;;;
2013-04-15 11:05:56:0460;1366016756460;212.15;;;;;;;;;;
2013-04-15 11:05:56:0583;1366016756583;;;;68.0;;;;;;;
2013-04-15 11:05:56:0683;1366016756683;214.65;;;;;;;;;;
2013-04-15 11:05:56:0735;1366016756735;;;;;68;;;;;;
2013-04-15 11:05:56:0920;1366016756920;215.7;;;;;;;;;;
2013-04-15 11:05:56:0935;1366016756935;;;;68.0;;;;;;;
2013-04-15 11:05:57:0082;1366016757082;;;;;68;;;;;;
2013-04-15 11:05:57:0159;1366016757159;215.2;;;;;;;;;;
2013-04-15 11:05:57:0283;1366016757283;;;;68.0;;;;;;;
2013-04-15 11:05:57:0397;1366016757397;215.0;;;;;;;;;;
