Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 08:09:02:0569;1366006142569;261.85;;;;;;;;;;
2013-04-15 08:09:02:0807;1366006142807;261.9;;;;;;;;;;
2013-04-15 08:09:03:0045;1366006143045;261.8;;;;;;;;;;
2013-04-15 08:09:03:0292;1366006143292;261.8;;;;;;;;;;
2013-04-15 08:09:03:0527;1366006143527;261.6;;;;;;;;;;
2013-04-15 08:09:03:0763;1366006143763;261.5;;;;;;;;;;
2013-04-15 08:09:04:0005;1366006144005;262.0;;;;;;;;;;
2013-04-15 08:09:04:0239;1366006144239;262.1;;;;;;;;;;
2013-04-15 08:09:04:0477;1366006144477;262.1;;;;;;;;;;
2013-04-15 08:09:04:0715;1366006144715;261.7;;;;;;;;;;
2013-04-15 08:09:04:0953;1366006144953;261.8;;;;;;;;;;
2013-04-15 08:09:05:0191;1366006145191;262.1;;;;;;;;;;
2013-04-15 08:09:05:0437;1366006145437;261.9;;;;;;;;;;
2013-04-15 08:09:05:0684;1366006145684;261.6;;;;;;;;;;
2013-04-15 08:09:05:0910;1366006145910;261.6;;;;;;;;;;
2013-04-15 08:09:06:0147;1366006146147;261.8;;;;;;;;;;
2013-04-15 08:09:06:0385;1366006146385;261.9;;;;;;;;;;
2013-04-15 08:09:06:0638;1366006146638;261.9;;;;;;;;;;
2013-04-15 08:09:06:0862;1366006146862;261.9;;;;;;;;;;
2013-04-15 08:09:07:0099;1366006147099;261.9;;;;;;;;;;
2013-04-15 08:09:07:0337;1366006147337;262.1;;;;;;;;;;
2013-04-15 08:09:07:0580;1366006147580;262.2;;;;;;;;;;
2013-04-15 08:09:07:0818;1366006147818;261.75;;;;;;;;;;
2013-04-15 08:09:08:0066;1366006148066;261.7;;;;;;;;;;
2013-04-15 08:09:08:0305;1366006148305;261.9;;;;;;;;;;
2013-04-15 08:09:08:0532;1366006148532;261.8;;;;;;;;;;
2013-04-15 08:09:08:0770;1366006148770;262.1;;;;;;;;;;
2013-04-15 08:09:09:0009;1366006149009;262.1;;;;;;;;;;
2013-04-15 08:09:09:0247;1366006149247;262.05;;;;;;;;;;
2013-04-15 08:09:09:0484;1366006149484;262.1;;;;;;;;;;
2013-04-15 08:09:09:0727;1366006149727;261.95;;;;;;;;;;
2013-04-15 08:09:09:0964;1366006149964;261.9;;;;;;;;;;
2013-04-15 08:09:10:0206;1366006150206;261.8;;;;;;;;;;
2013-04-15 08:09:10:0441;1366006150441;261.85;;;;;;;;;;
2013-04-15 08:09:10:0679;1366006150679;261.95;;;;;;;;;;
2013-04-15 08:09:10:0917;1366006150917;261.9;;;;;;;;;;
2013-04-15 08:09:11:0155;1366006151155;261.8;;;;;;;;;;
2013-04-15 08:09:11:0392;1366006151392;261.7;;;;;;;;;;
2013-04-15 08:09:11:0631;1366006151631;261.9;;;;;;;;;;
2013-04-15 08:09:11:0873;1366006151873;261.8;;;;;;;;;;
2013-04-15 08:09:12:0116;1366006152116;261.6;;;;;;;;;;
2013-04-15 08:09:12:0349;1366006152349;261.7;;;;;;;;;;
2013-04-15 08:09:12:0586;1366006152586;261.7;;;;;;;;;;
2013-04-15 08:09:12:0825;1366006152825;261.7;;;;;;;;;;
2013-04-15 08:09:13:0063;1366006153063;262.0;;;;;;;;;;
2013-04-15 08:09:13:0301;1366006153301;262.0;;;;;;;;;;
2013-04-15 08:09:13:0539;1366006153539;261.8;;;;;;;;;;
2013-04-15 08:09:13:0796;1366006153796;261.7;;;;;;;;;;
2013-04-15 08:09:14:0020;1366006154020;261.7;;;;;;;;;;
2013-04-15 08:09:14:0257;1366006154257;261.85;;;;;;;;;;
2013-04-15 08:09:14:0495;1366006154495;261.8;;;;;;;;;;
2013-04-15 08:09:14:0735;1366006154735;261.7;;;;;;;;;;
2013-04-15 08:09:14:0971;1366006154971;261.8;;;;;;;;;;
2013-04-15 08:09:15:0065;1366006155065;;;;34.0;;;;;;;
2013-04-15 08:09:15:0213;1366006155213;261.8;;;;;;;;;;
2013-04-15 08:09:15:0225;1366006155225;;;;;34;;;;;;
2013-04-15 08:09:15:0450;1366006155450;261.8;;;;;;;;;;
2013-04-15 08:09:15:0696;1366006155696;261.8;;;;;;;;;;
2013-04-15 08:09:15:0887;1366006155887;;;;34.0;;;;;;;
2013-04-15 08:09:15:0928;1366006155928;262.2;;;;;;;;;;
2013-04-15 08:09:16:0037;1366006156037;;;;;34;;;;;;
2013-04-15 08:09:16:0166;1366006156166;262.1;;;;;;;;;;
2013-04-15 08:09:16:0239;1366006156239;;;;34.0;;;;;;;
2013-04-15 08:09:16:0405;1366006156405;262.1;;;;;;;;;;
2013-04-15 08:09:16:0431;1366006156431;;;;;34;;;;;;
2013-04-15 08:09:16:0633;1366006156633;;;;34.0;;;;;;;
2013-04-15 08:09:16:0642;1366006156642;262.1;;;;;;;;;;
2013-04-15 08:09:16:0799;1366006156799;;;;;34;;;;;;
2013-04-15 08:09:16:0883;1366006156883;262.2;;;;;;;;;;
2013-04-15 08:09:17:0001;1366006157001;;;;34.0;;;;;;;
2013-04-15 08:09:17:0119;1366006157119;262.2;;;;;;;;;;
2013-04-15 08:09:17:0163;1366006157163;;;;;34;;;;;;
2013-04-15 08:09:17:0355;1366006157355;262.3;;;;;;;;;;
2013-04-15 08:09:17:0363;1366006157363;;;;34.0;;;;;;;
2013-04-15 08:09:17:0505;1366006157505;;;;;34;;;;;;
2013-04-15 08:09:17:0593;1366006157593;262.3;;;;;;;;;;
2013-04-15 08:09:17:0707;1366006157707;;;;34.0;;;;;;;
2013-04-15 08:09:17:0832;1366006157832;262.0;;;;;;;;;;
2013-04-15 08:09:17:0863;1366006157863;;;;;34;;;;;;
2013-04-15 08:09:18:0064;1366006158064;;;;34.0;;;;;;;
2013-04-15 08:09:18:0069;1366006158069;261.95;;;;;;;;;;
