Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 08:07:55:0418;1366006075418;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:55:0517;1366006075517;247.35;;;;;;;;;;
2013-04-15 08:07:55:0755;1366006075755;245.15;;;;;;;;;;
2013-04-15 08:07:55:0995;1366006075995;248.2;;;;;;;;;;
2013-04-15 08:07:56:0230;1366006076230;249.1;;;;;;;;;;
2013-04-15 08:07:56:0415;1366006076415;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:07:56:0467;1366006076467;249.5;;;;;;;;;;
2013-04-15 08:07:56:0706;1366006076706;249.0;;;;;;;;;;
2013-04-15 08:07:56:0943;1366006076943;249.95;;;;;;;;;;
2013-04-15 08:07:57:0182;1366006077182;250.3;;;;;;;;;;
2013-04-15 08:07:57:0419;1366006077419;249.4;;;;;;;;;;
2013-04-15 08:07:57:0421;1366006077421;;;;;;12.538471666666664;52.41081666666667;0;0.0;;
2013-04-15 08:08:10:0582;1366006090582;249.7;;;;;;;;;;
2013-04-15 08:08:10:0607;1366006090607;249.0;;;;;;;;;;
2013-04-15 08:08:10:0804;1366006090804;226.6;;;;;;;;;;
2013-04-15 08:08:45:0596;1366006125596;262.4;;;;;;;;;;
2013-04-15 08:08:45:0823;1366006125823;262.1;;;;;;;;;;
2013-04-15 08:08:46:0050;1366006126050;261.9;;;;;;;;;;
2013-04-15 08:08:46:0286;1366006126286;262.0;;;;;;;;;;
2013-04-15 08:08:46:0522;1366006126522;262.2;;;;;;;;;;
2013-04-15 08:08:46:0767;1366006126767;262.3;;;;;;;;;;
2013-04-15 08:08:47:0001;1366006127001;262.0;;;;;;;;;;
2013-04-15 08:08:47:0238;1366006127238;261.9;;;;;;;;;;
2013-04-15 08:08:47:0487;1366006127487;262.2;;;;;;;;;;
2013-04-15 08:08:47:0734;1366006127734;262.2;;;;;;;;;;
2013-04-15 08:08:47:0952;1366006127952;262.3;;;;;;;;;;
2013-04-15 08:08:48:0193;1366006128193;262.0;;;;;;;;;;
2013-04-15 08:08:48:0428;1366006128428;261.8;;;;;;;;;;
2013-04-15 08:08:48:0664;1366006128664;261.8;;;;;;;;;;
2013-04-15 08:08:48:0908;1366006128908;261.8;;;;;;;;;;
2013-04-15 08:08:49:0145;1366006129145;261.8;;;;;;;;;;
2013-04-15 08:08:49:0409;1366006129409;262.2;;;;;;;;;;
2013-04-15 08:08:49:0667;1366006129667;262.35;;;;;;;;;;
2013-04-15 08:08:49:0910;1366006129910;262.1;;;;;;;;;;
2013-04-15 08:08:50:0146;1366006130146;262.0;;;;;;;;;;
