Zeitstempel;Ist-Kurs;Soll-Kurs
2013-05-15 13:55:45:610;339.1;90.0
2013-05-15 13:55:45:848;337.8;90.0
2013-05-15 13:55:46:92;337.2;90.0
2013-05-15 13:55:46:328;344.2;90.0
2013-05-15 13:55:51:231;0.6;90.0
2013-05-15 13:55:51:469;4.6;90.0
2013-05-15 13:55:51:706;4.0;90.0
2013-05-15 13:55:51:949;359.3;90.0
2013-05-15 13:55:52:182;354.6;90.0
2013-05-15 13:55:52:425;351.0;90.0
2013-05-15 13:55:52:722;356.9;90.0
2013-05-15 13:55:52:952;7.2;90.0
2013-05-15 13:55:53:184;11.4;90.0
2013-05-15 13:55:53:444;8.6;90.0
2013-05-15 13:55:53:669;4.3;90.0
