Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 14:29:22:0773;1364390962773;270.9;;;;
2013-03-27 14:29:23:0011;1364390963011;270.9;;;;
2013-03-27 14:29:23:0253;1364390963253;270.8;;;;
2013-03-27 14:29:23:0490;1364390963490;270.9;;;;
2013-03-27 14:29:23:0728;1364390963728;270.8;;;;
2013-03-27 14:29:23:0965;1364390963965;270.8;;;;
2013-03-27 14:29:24:0203;1364390964203;270.8;;;;
2013-03-27 14:29:24:0440;1364390964440;270.8;;;;
2013-03-27 14:29:24:0679;1364390964679;270.8;;;;
2013-03-27 14:29:24:0916;1364390964916;270.8;;;;
2013-03-27 14:29:25:0154;1364390965154;270.8;;;;
2013-03-27 14:29:25:0398;1364390965398;270.8;;;;
2013-03-27 14:29:25:0635;1364390965635;270.8;;;;
2013-03-27 14:29:25:0872;1364390965872;270.9;;;;
2013-03-27 14:29:26:0110;1364390966110;270.75;;;;
2013-03-27 14:29:26:0348;1364390966348;270.75;;;;
2013-03-27 14:29:26:0588;1364390966588;270.8;;;;
2013-03-27 14:29:26:0824;1364390966824;270.8;;;;
2013-03-27 14:29:27:0065;1364390967065;270.8;;;;
2013-03-27 14:29:27:0341;1364390967341;270.8;;;;
2013-03-27 14:29:27:0563;1364390967563;270.8;;;;
2013-03-27 14:29:27:0801;1364390967801;270.8;;;;
2013-03-27 14:29:28:0039;1364390968039;270.8;;;;
2013-03-27 14:29:28:0277;1364390968277;270.7;;;;
2013-03-27 14:29:28:0515;1364390968515;270.7;;;;
2013-03-27 14:29:28:0752;1364390968752;270.7;;;;
2013-03-27 14:29:28:0991;1364390968991;270.8;;;;
2013-03-27 14:29:29:0227;1364390969227;270.8;;;;
2013-03-27 14:29:29:0470;1364390969470;270.9;;;;
2013-03-27 14:29:29:0707;1364390969707;270.8;;;;
2013-03-27 14:29:29:0944;1364390969944;270.8;;;;
2013-03-27 14:29:30:0182;1364390970182;270.8;;;;
2013-03-27 14:29:30:0420;1364390970420;270.75;;;;
2013-03-27 14:29:30:0658;1364390970658;270.7;;;;
2013-03-27 14:29:30:0897;1364390970897;270.8;;;;
2013-03-27 14:29:31:0133;1364390971133;270.8;;;;
2013-03-27 14:29:31:0370;1364390971370;270.9;;;;
2013-03-27 14:29:31:0614;1364390971614;270.75;;;;
2013-03-27 14:29:31:0851;1364390971851;270.7;;;;
2013-03-27 14:29:32:0089;1364390972089;270.7;;;;
2013-03-27 14:29:32:0326;1364390972326;270.7;;;;
2013-03-27 14:29:32:0564;1364390972564;270.9;;;;
2013-03-27 14:29:32:0801;1364390972801;270.8;;;;
2013-03-27 14:29:33:0040;1364390973040;270.8;;;;
2013-03-27 14:29:33:0277;1364390973277;270.8;;;;
2013-03-27 14:29:33:0515;1364390973515;270.8;;;;
2013-03-27 14:29:33:0757;1364390973757;270.8;;;;
2013-03-27 14:29:33:0994;1364390973994;270.9;;;;
2013-03-27 14:29:34:0231;1364390974231;270.8;;;;
2013-03-27 14:29:34:0470;1364390974470;270.8;;;;
2013-03-27 14:29:34:0708;1364390974708;270.8;;;;
2013-03-27 14:29:34:0946;1364390974946;270.7;;;;
2013-03-27 14:29:35:0183;1364390975183;270.7;;;;
2013-03-27 14:29:35:0422;1364390975422;270.7;;;;
2013-03-27 14:29:35:0660;1364390975660;270.75;;;;
2013-03-27 14:29:35:0900;1364390975900;270.8;;;;
2013-03-27 14:29:36:0137;1364390976137;270.8;;;;
2013-03-27 14:29:36:0375;1364390976375;270.7;;;;
2013-03-27 14:29:36:0613;1364390976613;270.6;;;;
2013-03-27 14:29:36:0852;1364390976852;270.65;;;;
2013-03-27 14:29:37:0091;1364390977091;270.7;;;;
2013-03-27 14:29:37:0326;1364390977326;270.7;;;;
2013-03-27 14:29:37:0565;1364390977565;270.7;;;;
2013-03-27 14:29:37:0802;1364390977802;270.7;;;;
2013-03-27 14:29:38:0045;1364390978045;270.7;;;;
2013-03-27 14:29:38:0281;1364390978281;270.7;;;;
2013-03-27 14:29:38:0519;1364390978519;270.7;;;;
2013-03-27 14:29:38:0757;1364390978757;270.7;;;;
2013-03-27 14:29:38:0995;1364390978995;270.7;;;;
2013-03-27 14:29:39:0233;1364390979233;270.6;;;;
2013-03-27 14:29:39:0469;1364390979469;270.8;;;;
2013-03-27 14:29:39:0707;1364390979707;270.8;;;;
2013-03-27 14:29:39:0946;1364390979946;270.8;;;;
2013-03-27 14:29:40:0189;1364390980189;270.7;;;;
2013-03-27 14:29:40:0424;1364390980424;270.7;;;;
2013-03-27 14:29:40:0666;1364390980666;270.7;;;;
2013-03-27 14:29:40:0901;1364390980901;270.7;;;;
2013-03-27 14:29:41:0138;1364390981138;270.8;;;;
2013-03-27 14:29:41:0376;1364390981376;270.8;;;;
2013-03-27 14:29:41:0614;1364390981614;270.8;;;;
2013-03-27 14:29:41:0851;1364390981851;270.7;;;;
2013-03-27 14:29:42:0090;1364390982090;270.7;;;;
2013-03-27 14:29:42:0332;1364390982332;270.6;;;;
2013-03-27 14:29:42:0570;1364390982570;270.7;;;;
2013-03-27 14:29:42:0807;1364390982807;270.7;;;;
2013-03-27 14:29:43:0045;1364390983045;270.8;;;;
2013-03-27 14:29:43:0283;1364390983283;270.8;;;;
2013-03-27 14:29:43:0522;1364390983522;270.8;;;;
2013-03-27 14:29:43:0759;1364390983759;270.8;;;;
2013-03-27 14:29:43:0996;1364390983996;270.8;;;;
2013-03-27 14:29:44:0234;1364390984234;270.8;;;;
2013-03-27 14:29:44:0477;1364390984477;270.8;;;;
2013-03-27 14:29:44:0713;1364390984713;270.8;;;;
2013-03-27 14:29:44:0951;1364390984951;270.6;;;;
2013-03-27 14:29:45:0189;1364390985189;270.6;;;;
2013-03-27 14:29:45:0427;1364390985427;270.6;;;;
2013-03-27 14:29:45:0664;1364390985664;270.8;;;;
2013-03-27 14:29:45:0902;1364390985902;270.7;;;;
2013-03-27 14:29:46:0140;1364390986140;270.7;;;;
2013-03-27 14:29:46:0377;1364390986377;270.7;;;;
2013-03-27 14:29:46:0620;1364390986620;270.8;;;;
2013-03-27 14:29:46:0857;1364390986857;270.6;;;;
2013-03-27 14:29:47:0095;1364390987095;270.8;;;;
2013-03-27 14:29:47:0333;1364390987333;270.8;;;;
2013-03-27 14:29:47:0569;1364390987569;270.8;;;;
2013-03-27 14:29:47:0807;1364390987807;270.8;;;;
